pole_id,pole_stencil
11,"CI 0/I"
12,"CI 0/2"
13,"CI 0/3"
14,"CI 0/4"
15,"CI 0/5"
16,"CI 0/6"
17,"CI 0/7"
18,"CI 0/8"
19,"CI 0/9"
20,"CI 0/10"
21,"CI 0/11"
22,"CI 0/12"
23,"CI 0/13"
24,"CI 0/14"
25,"CI 1/1"
26,"CI 1/2"
27,"CI 1/3"
28,"CI 1/4"
29,"CI 1/5"
30,"CI 1/6"
31,"CI 1/7"
32,"CI 1/8"
33,"CI 1/9"
34,"CI 1/10"
35,"CI 1/11"
36,"CI 1/12"
37,"CI 1/13"
38,"CI 1/14"
39,"CI 2/1"
40,"CI 2/2"
41,"CI 2/3"
42,"CI 2/4"
43,"CI 2/5"
44,"CI 2/6"
45,"CI 2/7"
46,"CI 2/8"
47,"CI 2/9"
48,"CI 2/10"
49,"CI 2/11"
50,"CI 3/1"
51,"CI 3/2"
52,"CI 3/3"
53,"CI 3/4"
54,"CI 3/5"
55,"CI 3/6"
56,"CI 3/7"
57,"CI 3/8"
58,"CI 3/9"
59,"CI 4/10"
60,"CI 3/10"
61,"CI 3/11"
62,"CI 4/1"
63,"CI 5/6"
64,"CI 5/7"
65,"CI 5/8"
66,"CI 5/9"
67,"CI 4/2"
68,"CI 4/3"
69,"CI 4/4"
70,"CI 4/4"
71,"CI 4/5"
72,"CI 4/6"
73,"CI 4/7"
74,"CI 4/8"
75,"CI 4/9"
76,"CI 4/11"
77,"CI 4/12"
78,"CI 5/1"
79,"CI 5/2"
80,"CI 5/3"
81,"NM 5/7"
82,"CI 0/1"
83,"CI 0/2"
84,"CI 0/3"
85,"CI 0/4"
86,"CI 5/2"
87,"CI 0/1"
88,"CI 0/1"
89,"CI 5/4"
90,"CI 5/4"
92,"CE 164"
93,"CI 5/10"
94,"CE 146"
95,"CE 147"
96,"CE 152"
97,2-69
98,"CE 154"
99,"CE 157"
100,"CE 159"
101,"CE 167"
102,"CE 170"
103,"CE 173"
104,"CE 175"
105,"CE 191"
106,"CE 192"
107,"CE 196"
108,"CE 198"
109,"CE 201"
110,"CI 6/1"
111,"XCC 40"
112,"XCC 39"
113,"CI 6/2"
114,"CI 6/3"
115,"CI 6/4"
116,"CI 6/5"
117,"CI 6/6"
118,"CI 6/7"
119,XCC-33X
120,XCC-40
121,XCC-39
122,CE-146
123,CE-147
124,CE-152
125,CE-154
126,CE-157
127,CE-159
128,CE-164
129,CE-167
130,CE-170
131,CE-173
132,CE-175
133,CE-191
134,CE-192
135,CE-196
136,CE-198
137,CE-201
138,CE-192X
139,XCC-33
140,XCC-31
141,XCC-28
142,XCC-26
143,"CI 6/8"
144,"CI 6/9"
145,"CI 6/10"
146,"CI 6/11"
147,"CI 6/12"
148,"CI 7/1"
149,"CI 7/2"
150,"CI 7/3"
151,"CI 7/4"
152,"CI 7/5"
153,"CI 7/6"
154,"CI 7/7"
155,"CI 7/8"
156,"CI 7/9"
157,"CI 7/10"
158,"CI 7/11"
159,"CI 8/1"
160,"CI 8/2"
161,"CI 8/3"
162,"CI 8/4"
163,"CI 8/5"
164,"CI 8/6"
165,"CI 8/7"
166,"CI 8/8"
167,"CI 8/9"
168,"CI 8/10"
169,"CI 8/11"
170,"CI 8/12"
171,"CI 9/1"
172,"CI 9/2"
173,"CI 9/3"
174,"CI 9/4"
175,"CI 9/5"
176,"CI 9/6"
177,"CI 9/7"
178,"CI 9/8"
179,"CI 9/9"
180,"CI 9/10"
181,"CI 9/11"
182,"CI 10/1"
183,"CI 10/2"
184,"CI 10/3"
185,"CI 10/4"
186,"CI 10/5"
187,"CI 10/6"
188,"CI 10/7"
189,"CI 10/8"
190,"CI 10/9"
191,"CI 10/10"
192,"CI 10/11"
193,"CI 11/1"
194,"CI 11/2"
195,"CI 11/3"
196,"CI 11/4"
197,"CI 11/5"
198,"CI 11/6"
199,"CI 11/7"
200,"CI 11/8"
201,"CI 11/9"
202,"CI 11/10"
203,"CI 11/11"
204,"CI 12/1"
205,"CI 12/2"
206,"CI 12/3"
207,"CI 12/4"
208,"CI 12/5"
209,"CI 12/6"
210,"CI 12/7"
211,"CI 12/8"
212,"CI 12/9"
213,"CI 12/10"
214,"CI 13/1"
215,"CI 13/2"
216,"CI 13/3"
217,"CI 13/4"
218,"CI 13/5"
219,"CI 13/6"
220,"CI 13/7"
221,"CI 13/8"
222,"CI 13/9"
223,"CI 13/10"
224,"CI 13/11"
225,"CI 14/1"
226,"CI 14/2"
227,"CI 14/3"
228,"CI 14/4"
229,"CI 14/5"
230,"CI 14/6"
231,2-18
232,"CI 14/7"
233,"CI 14/8"
234,"CI 14/9"
235,"CI 14/10"
236,"CI 14-11"
237,"CI 14/11"
238,"CI 15/1"
239,"CI 15/5"
240,"CI 15/4"
241,"CI 15/3"
242,"CI 15/2"
243,"CI 15/6"
244,"CI 15/7"
245,"CI 15/8"
246,"CI 15/9"
247,"CI 15/10"
248,"CI 15/11"
249,"CI 15/12"
250,"CI 15/13"
251,"CI 16/1"
252,"CI 16/2"
253,"CI 16/3"
254,"CI 16/4"
255,"CI 16/5"
256,"CI 16/6"
257,"CI 16/8"
258,"CI 16/8"
259,ci
260,"CI 16/10"
261,"CI 16/11"
262,"CI 16/12"
263,"CI 17/1"
264,"CI 17/2"
265,"CI 17/3"
266,"CI 17/4"
267,"CI 17/5"
268,"CI 17/6"
269,"CI 17/7"
270,"CI 17/8"
271,"CI 17/9"
272,"CI 17/10"
273,"CI 17/11"
274,"CI 17/12"
275,"CI 18/1"
276,"CI 18/2"
277,"CI 18/3"
278,"CI 18/4"
279,"CI 18/5"
280,"CI 18/6"
281,"CI 18/7"
282,"CI 18/8"
283,"CI 18/9"
284,"CI 18/10"
285,"CI 18/11"
286,"CI 18/12"
287,"CI 18/13"
288,"CI 18/14"
289,"CI 18/15"
290,CE-150
291,CE-172
292,"CI 0/6"
293,CE-155
294,CE-180
295,CE-202
296,CE-203
297,X1-68
298,X1-66
299,X1-64
300,"CI 17/15"
301,"CI 2/1XX"
302,"CI 2/1X"
303,"D-SC 8/19"
304,"D-SC 8/18"
305,"D-SC 8/17"
306,"CI 3/12"
307,"CI 5/2X"
308,"CI 5/2XX"
309,"CI 5/9X"
310,"CI 6/1X"
311,XCC-38
312,XCC-37
313,XCC-35
314,XCC-34
315,XCC-30
316,XCC-27
317,XCC-25
318,"CI 6/10"
319,XCCA-4
320,XC-169
321,XC-171
322,XC-174
323,XC-175
324,XC-176
325,XC-177
326,"CI 1/18"
327,"HL-LS 0/1"
328,"HL-LS 0/2"
329,"HL-LS 0/3"
330,"HL-LS 0/4"
331,"HL-LS 0/5"
332,"HL-LS 0/6"
333,"HL-LS 0/7"
334,"HL-LS 0/8"
335,"HL-LS 0/9"
336,"HL-LS 0/10"
337,"HL-LS 0/11"
338,"HL-LS 0/12"
339,"HL-LS 0/13"
340,"HL-LS 0/14"
341,"HL-LS 0/15"
342,4-99
343,SL-44069-F
344,SL-2018-D
345,SL-27947-F
346,SL-39646-D
347,SL-2024-D
348,P-265
349,P-263X
350,P-262
351,"HL-LS 0/16"
352,"HL-LS 0/17"
353,"HL-LS 1/1"
354,"HL-LS 1/2"
355,"HL-LS 1/3"
356,"HL-LS 1/4"
357,"HL-LS 1/5"
358,"HL-LS 1/6"
359,"HL-LS 1/7"
360,"HL-LS 1/8"
361,"HL-LS 1/9"
